The good mom.	The mom good.
The good girl.	The girl good.
The good person.	The person good.
The good cat.	The cat good.
The good guy.	The guy good.
The good animal.	The animal good.
The good horse.	The horse good.
The good bird.	The bird good.
The good duck.	The duck good.
The good kitty.	The kitty good.
The good dad.	The dad good.
The good cow.	The cow good.
The good elephant.	The elephant good.
The good bunny.	The bunny good.
The good chicken.	The chicken good.
The good dinosaur.	The dinosaur good.
The good mouse.	The mouse good.
The good lady.	The lady good.
The good monkey.	The monkey good.
The good caterpillar.	The caterpillar good.
The good puppy.	The puppy good.
The good rabbit.	The rabbit good.
The good lion.	The lion good.
The good bee.	The bee good.
The good snake.	The snake good.
The good sheep.	The sheep good.
The good tiger.	The tiger good.
The good turtle.	The turtle good.
The good monster.	The monster good.
The good owl.	The owl good.
The good spider.	The spider good.
The good zebra.	The zebra good.
The good kangaroo.	The kangaroo good.
The good giraffe.	The giraffe good.
The good dragon.	The dragon good.
The good turkey.	The turkey good.
The good donkey.	The donkey good.
The good uncle.	The uncle good.
The good woman.	The woman good.
The good goose.	The goose good.
The little mom.	The mom little.
The little girl.	The girl little.
The little person.	The person little.
The little cat.	The cat little.
The little guy.	The guy little.
The little animal.	The animal little.
The little horse.	The horse little.
The little bird.	The bird little.
The little duck.	The duck little.
The little kitty.	The kitty little.
The little dad.	The dad little.
The little cow.	The cow little.
The little elephant.	The elephant little.
The little bunny.	The bunny little.
The little chicken.	The chicken little.
The little dinosaur.	The dinosaur little.
The little mouse.	The mouse little.
The little lady.	The lady little.
The little monkey.	The monkey little.
The little caterpillar.	The caterpillar little.
The little puppy.	The puppy little.
The little rabbit.	The rabbit little.
The little lion.	The lion little.
The little bee.	The bee little.
The little snake.	The snake little.
The little sheep.	The sheep little.
The little tiger.	The tiger little.
The little turtle.	The turtle little.
The little monster.	The monster little.
The little owl.	The owl little.
The little spider.	The spider little.
The little zebra.	The zebra little.
The little kangaroo.	The kangaroo little.
The little giraffe.	The giraffe little.
The little dragon.	The dragon little.
The little turkey.	The turkey little.
The little donkey.	The donkey little.
The little uncle.	The uncle little.
The little woman.	The woman little.
The little goose.	The goose little.
The big mom.	The mom big.
The big girl.	The girl big.
The big person.	The person big.
The big cat.	The cat big.
The big guy.	The guy big.
The big animal.	The animal big.
The big horse.	The horse big.
The big bird.	The bird big.
The big duck.	The duck big.
The big kitty.	The kitty big.
The big dad.	The dad big.
The big cow.	The cow big.
The big elephant.	The elephant big.
The big bunny.	The bunny big.
The big chicken.	The chicken big.
The big dinosaur.	The dinosaur big.
The big mouse.	The mouse big.
The big lady.	The lady big.
The big monkey.	The monkey big.
The big caterpillar.	The caterpillar big.
The big puppy.	The puppy big.
